sample,tp1,tp2,delta,wd,g_day
1AS,67.52,68.84,1.32,2.0328,0.065574194
2AS,188.98,207.82,18.84,29.0136,0.935922581
3AS,96.88,96.23,-0.65,-1.001,-0.032290323
1BS,109.36,117.5,8.14,12.5356,0.404374194
2BS,141.22,153.98,12.76,19.6504,0.633883871
3BS,155.42,161.28,5.86,9.0244,0.291109677
1CS,143.45,147.39,3.94,6.0676,0.195729032
2CS,123.21,131.98,8.77,13.5058,0.435670968
3CS,113.85,122.74,8.89,13.6906,0.441632258
1DS,120.05,130.63,10.58,16.2932,0.525587097
2DS,169.91,179.52,9.61,14.7994,0.4774
3DS,189.13,196.73,7.6,11.704,0.377548387
1AW,126.86,133.31,6.45,9.933,0.320419355
2AW,160.94,169.28,8.34,12.8436,0.414309677
3AW,320.32,329.05,8.73,13.4442,0.433683871
1BW,74.5,79.11,4.61,7.0994,0.229012903
2BW,149.28,155.52,6.24,9.6096,0.309987097
3BW,101.34,103.68,2.34,3.6036,0.116245161
1CW,178.98,185.7,6.72,10.3488,0.333832258
2CW,302.46,318.32,15.86,24.4244,0.787883871
3CW,127.68,133.59,5.91,9.1014,0.293593548
1DW,151.18,162.18,11,16.94,0.546451613
2DW,264.64,277.79,13.15,20.251,0.653258065
3DW,113.75,120.31,6.56,10.1024,0.325883871
