"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","season","uniprot_acc","uniprot_entry","pident","align_length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","qlen","slen","qcovs","quality_tier","description","source","organism","short_desc"
117.976403437298,-4.48920684400706,0.372452984052999,-12.0530833050548,1.86828115609273e-33,6.16666230164606e-30,"Montipora_capitata_HIv3___TS.g33283.t2","Summer","P00606","PA2A_BUNMU",48.649,111,55,1,160,492,28,136,1.11e-31,114,516,145,65,"HIGH","Acidic phospholipase A2","SwissProt","Host","Acidic phospholipase A2"
652.406078721448,12.7504899151756,1.47985547977066,8.61603723435993,6.93112262292706e-18,5.33811960675766e-15,"Montipora_capitata_HIv3___RNAseq.g49577.t1","Summer","Q5TM20","TNFB_MACMU",28.931,159,87,7,49,474,56,205,4.68e-08,53.5,477,205,89,"LOW","Lymphotoxin-alpha","SwissProt","Host","Lymphotoxin-alpha"
56.6320006322052,-4.31498846159666,0.51071730855161,-8.44887844869392,2.94114482481927e-17,1.83662570749862e-14,"Montipora_capitata_HIv3___RNAseq.g36845.t1","Summer","Q767F1","JHAMT_BOMMO",31.69,142,86,3,112,510,35,174,9.07e-15,75.9,840,278,48,"LOW","Juvenile hormone acid O-methyltransferase","SwissProt","Host","Juvenile hormone acid O-methyltransferase"
117.640470874579,4.73388053111974,0.59678799791201,7.93226497128331,2.15184697995996e-15,1.01466172391785e-12,"Montipora_capitata_HIv3___RNAseq.g30230.t1","Summer","Q5R2J2","G3P_PELSI",74.763,317,78,2,4,954,1,315,1.21e-173,488,1032,333,92,"HIGH","Glyceraldehyde-3-phosphate dehydrogenase","SwissProt","Host","Glyceraldehyde-3-phosphate dehydrogenase"
204.718309800275,2.49784947325372,0.362970361320114,6.88168991035274,5.91466545679021e-12,1.62688506403736e-09,"Montipora_capitata_HIv3___RNAseq.g5348.t1","Summer","Q7Z494","NPHP3_HUMAN",25.6,375,243,6,133,1164,961,1330,4.47e-26,115,1383,1330,87,"LOW","Nephrocystin-3","SwissProt","Host","Nephrocystin-3"
49.7092496319241,4.73618165405495,0.70685303798805,6.70037673960598,2.07882886605402e-11,4.95168463403898e-09,"Montipora_capitata_HIv3___RNAseq.g23762.t1","Summer","Q5R739","JOS1_PONAB",45.714,175,94,1,4,525,25,199,5.11e-53,171,573,202,91,"HIGH","Josephin-1","SwissProt","Host","Josephin-1"
164.127124844925,1.76294232964927,0.265168214480716,6.64839235389382,2.96311567765172e-11,6.84627877321431e-09,"Montipora_capitata_HIv3___RNAseq.g5395.t1","Summer","Q15256","PTPRR_HUMAN",40.695,489,235,16,565,1929,180,647,7.28e-92,301,2001,657,68,"HIGH","Receptor-type tyrosine-protein phosphatase R","SwissProt","Host","Receptor-type tyrosine-protein phosphatase R"
33.6229754622305,8.46976827192742,1.33053116848206,6.36570451903819,1.94395351234679e-10,4.01027195560469e-08,"Montipora_capitata_HIv3___RNAseq.g46820.t1","Summer","Q28E28","PPR3B_XENTR",41.379,174,91,6,139,630,77,249,1.29e-28,112,705,301,70,"HIGH","Protein phosphatase 1 regulatory subunit 3B","SwissProt","Host","Protein phosphatase 1 regulatory subunit 3B"
38.3923325224412,6.18252169255226,0.973179841611768,6.35290768283162,2.11282527108439e-10,4.32007326446061e-08,"Montipora_capitata_HIv3___RNAseq.g16878.t1","Summer","A0A7D9M514","A0A7D9M514_PARCT",39.153,189,113,2,1,567,41,227,2.03e-38,152,1395,314,41,"LOW","Transient receptor potential cation channel subfamily A member 1 (Fragment)","TrEMBL","Host","Transient receptor potential cation channel subfamily A member 1 (Fragment)"
28.1634348744556,8.21864845188095,1.37821588992412,5.9632518475269,2.47266858555123e-09,4.2141033035451e-07,"Montipora_capitata_HIv3___RNAseq.g4221.t1","Summer","Q5F4A1","G2E3_CHICK",21.359,309,193,8,496,1302,389,687,3.84e-11,69.3,1470,742,55,"LOW","G2/M phase-specific E3 ubiquitin-protein ligase","SwissProt","Host","G2/M phase-specific E3 ubiquitin-protein ligase"
28.6434594966446,-8.34652274534024,1.43670305809032,-5.80949744509802,6.2660650339747e-09,1.01242959867123e-06,"Montipora_capitata_HIv3___TS.g14199.t1","Summer","Q5F4A1","G2E3_CHICK",20.386,363,259,13,1276,2343,400,739,4.82e-07,57.4,2358,742,45,"LOW","G2/M phase-specific E3 ubiquitin-protein ligase","SwissProt","Host","G2/M phase-specific E3 ubiquitin-protein ligase"
30.7630256986517,-3.44960131408534,0.606593910687003,-5.68683802014838,1.29413096533369e-08,1.90451566586209e-06,"Montipora_capitata_HIv3___TS.g41895.t1","Summer","Q505D1","ANR28_MOUSE",28.244,262,169,6,145,927,45,288,2.34e-18,90.1,1056,1053,85,"LOW","Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A","SwissProt","Host","Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A"
68.127191006671,2.73735257016278,0.484144984999391,5.653993441998,1.56762194355504e-08,2.22005577031123e-06,"Montipora_capitata_HIv3___RNAseq.g2640.t1a","Summer","Q61830","MRC1_MOUSE",31.228,285,171,8,400,1197,209,487,4.38e-35,148,2595,1456,46,"LOW","Macrophage mannose receptor 1","SwissProt","Host","Macrophage mannose receptor 1"
29.5703335675884,-5.55697847486259,1.00293118690166,-5.54073753756693,3.01200367473497e-08,3.97670542312865e-06,"Montipora_capitata_HIv3___TS.g44077.t1","Summer","Q5F4A1","G2E3_CHICK",20.492,366,257,15,1276,2349,400,739,2.26e-06,55.1,2364,742,45,"LOW","G2/M phase-specific E3 ubiquitin-protein ligase","SwissProt","Host","G2/M phase-specific E3 ubiquitin-protein ligase"
359.035800837787,1.10867613371341,0.204064257959525,5.43297559699703,5.54219894856369e-08,7.03585201684418e-06,"Montipora_capitata_HIv3___RNAseq.g36836.t1","Summer","Q8VDI9","ALG9_MOUSE",55.24,563,247,3,118,1803,52,610,0,604,1830,611,92,"HIGH","Alpha-1,2-mannosyltransferase ALG9","SwissProt","Host","Alpha-1"
985.928475199046,0.968846960190458,0.179130819106464,5.40860006682957,6.35192938949057e-08,7.89039400775159e-06,"Montipora_capitata_HIv3___RNAseq.g13558.t1","Summer","O62826","TRPC2_BOVIN",24.88,209,131,5,1420,2007,61,256,5.21e-13,76.3,3171,432,19,"LOW","Short transient receptor potential channel 2 homolog","SwissProt","Host","Short transient receptor potential channel 2 homolog"
256.7222127877,1.15932081870911,0.219130873024199,5.29054077460404,1.21955228605504e-07,1.43034292229958e-05,"Montipora_capitata_HIv3___RNAseq.g24139.t1","Summer","Q924A5","S36A1_RAT",44.366,426,211,4,217,1425,38,460,8.79e-108,331,1449,475,83,"HIGH","Proton-coupled amino acid transporter 1","SwissProt","Host","Proton-coupled amino acid transporter 1"
99.9040948044922,-2.10906807832782,0.399397478744504,-5.28062441695333,1.28744363772708e-07,1.49616737956817e-05,"Montipora_capitata_HIv3___RNAseq.g12807.t1","Summer","P0DP43","CTSRE_MOUSE",29.518,332,208,12,67,1035,617,931,1.45e-39,153,1149,985,84,"LOW","Cation channel sperm-associated auxiliary subunit epsilon","SwissProt","Host","Cation channel sperm-associated auxiliary subunit epsilon"
108.261760652805,-4.44104823441976,0.863596138689523,-5.14250589535856,2.71097932354188e-07,2.8998693180757e-05,"Montipora_capitata_HIv3___RNAseq.g30901.t1","Summer","B1VEI4","MSHA_CORU7",25.837,418,256,21,724,1860,22,424,4.51e-14,79,2601,424,44,"LOW","D-inositol 3-phosphate glycosyltransferase","SwissProt","Host","D-inositol 3-phosphate glycosyltransferase"
1182.508819799,-1.23927502182943,0.247772395686987,-5.00166702748847,5.68366941990419e-07,5.58813540199517e-05,"Montipora_capitata_HIv3___TS.g7322.t1","Summer","Q1EHB4","SC5AC_HUMAN",37.479,603,351,11,16,1803,5,588,5.57e-107,338,1806,618,99,"MEDIUM","Sodium-coupled monocarboxylate transporter 2","SwissProt","Host","Sodium-coupled monocarboxylate transporter 2"
273.042712652,-1.63839470802929,0.343792521180179,-4.76564964940184,1.88246116244144e-06,0.000162292034172423,"Montipora_capitata_HIv3___RNAseq.g19570.t1","Summer","A0AAD9V8N4","A0AAD9V8N4_ACRCE",72.781,169,43,2,1,498,556,724,1.21e-75,250,513,780,97,"HIGH","Glycine betaine transporter OpuD","TrEMBL","Host","Glycine betaine transporter OpuD"
41.1051042791978,6.28783945766881,1.34486336088339,4.67544855526332,2.93311801283459e-06,0.000242034613166226,"Montipora_capitata_HIv3___RNAseq.g19793.t1","Summer","Q87PP5","BCCT1_VIBPA",35.963,431,230,7,109,1383,167,557,9.85e-81,268,1803,562,71,"MEDIUM","Glycine betaine/proline/choline/ectoine transporter VP1456","SwissProt","Host","Glycine betaine/proline/choline/ectoine transporter VP1456"
