gene_id	uniprot_acc	uniprot_entry	pident	align_length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qcovs	quality_tier	description	source
Montipora_capitata_HIv3___RNAseq.g37527.t1	A0AAD9URM9	A0AAD9URM9_ACRCE	66.993	612	143	4	28	1686	10	621	0.0	855	1704	1270	98	HIGH	Deleted in malignant brain tumors 1 protein	TrEMBL
Montipora_capitata_HIv3___TS.g30192.t1	A0A9W9YMF6	A0A9W9YMF6_9CNID	48.544	103	46	1	100	408	1	96	3.80e-21	91.3	414	96	75	HIGH	Uncharacterized protein	TrEMBL
Montipora_capitata_HIv3___RNAseq.g38063.t1	A0ABN8NAT4	A0ABN8NAT4_9CNID	81.503	346	64	0	148	1185	294	639	0.0	584	1188	639	99	HIGH	Uncharacterized protein	TrEMBL
Montipora_capitata_HIv3___RNAseq.g38221.t1	A0AAD9Q9Z7	A0AAD9Q9Z7_ACRCE	71.642	67	19	0	106	306	25	91	3.16e-23	98.6	309	213	65	HIGH	Uncharacterized protein	TrEMBL
Montipora_capitata_HIv3___RNAseq.g38222.t1	A0ABN8LUC4	A0ABN8LUC4_9CNID	86.322	329	45	0	1	987	113	441	0.0	619	1008	670	98	HIGH	Uncharacterized protein (Fragment)	TrEMBL
Montipora_capitata_HIv3___RNAseq.g38223.t1	A0ABN8LQQ5	A0ABN8LQQ5_9CNID	60.000	400	155	4	1	1197	315	710	1.08e-166	496	1344	733	89	HIGH	Uncharacterized protein (Fragment)	TrEMBL
Montipora_capitata_HIv3___RNAseq.g38656.t1	A0AAD9V046	A0AAD9V046_ACRCE	89.665	358	19	2	46	1068	46	402	0.0	616	1341	847	76	HIGH	Reverse transcriptase domain-containing protein	TrEMBL
Montipora_capitata_HIv3___RNAseq.g39507.t1	A0ABN8Q498	A0ABN8Q498_9CNID	80.859	256	46	1	118	876	29	284	3.70e-60	202	879	284	86	HIGH	Uncharacterized protein (Fragment)	TrEMBL
Montipora_capitata_HIv3___RNAseq.g39525.t1	A0AAD9UXJ7	A0AAD9UXJ7_ACRCE	58.382	173	55	1	40	507	50	222	8.61e-40	149	774	304	60	HIGH	receptor protein-tyrosine kinase (Fragment)	TrEMBL
Montipora_capitata_HIv3___RNAseq.g39702.t1	A0ABN8QW35	A0ABN8QW35_9CNID	56.000	125	52	1	391	756	94	218	2.65e-29	119	765	221	48	LOW	Uncharacterized protein (Fragment)	TrEMBL
Montipora_capitata_HIv3___RNAseq.g39717.t1	A0ABN8PLA0	A0ABN8PLA0_9CNID	65.371	283	95	2	112	960	34	313	2.81e-126	373	963	313	88	HIGH	Uncharacterized protein	TrEMBL
Montipora_capitata_HIv3___RNAseq.g39759.t1	A0AAD9USZ2	A0AAD9USZ2_ACRCE	58.213	347	117	7	31	996	43	386	1.80e-123	370	1026	394	94	HIGH	Uncharacterized protein	TrEMBL
Montipora_capitata_HIv3___RNAseq.g39912.t1	A0AAD9QCB6	A0AAD9QCB6_ACRCE	67.412	850	260	3	1	2550	1	833	0.0	1142	2904	1573	97	HIGH	Integrase zinc-binding domain-containing protein	TrEMBL
Montipora_capitata_HIv3___RNAseq.g19122.t1	A0AAD9QQ95	A0AAD9QQ95_ACRCE	50.000	126	60	2	1	369	199	324	1.17e-29	118	378	325	98	HIGH	Uncharacterized protein	TrEMBL
Montipora_capitata_HIv3___RNAseq.g19123.t1	A0AAD9QQ95	A0AAD9QQ95_ACRCE	47.788	113	57	1	310	642	212	324	5.85e-22	102	666	325	96	HIGH	Uncharacterized protein	TrEMBL
Montipora_capitata_HIv3___RNAseq.g19132.t1	A0ABN8M037	A0ABN8M037_9CNID	47.826	115	54	4	1	345	1	109	1.88e-19	88.2	465	126	74	MEDIUM	Uncharacterized protein	TrEMBL
Montipora_capitata_HIv3___TS.g32687.t1	A0A2B4S783	A0A2B4S783_STYPI	82.482	137	24	0	7	417	1	137	3.35e-66	218	816	305	50	MEDIUM	Uncharacterized protein	TrEMBL
Montipora_capitata_HIv3___RNAseq.g19139.t1	A0AAD9QQ76	A0AAD9QQ76_ACRCE	61.682	107	41	0	1	321	1	107	7.02e-39	142	378	313	85	HIGH	Uncharacterized protein	TrEMBL
Montipora_capitata_HIv3___RNAseq.g19167.t1	A0ABN8MJI2	A0ABN8MJI2_9CNID	55.906	127	49	4	19	396	4	124	8.78e-37	133	474	147	80	HIGH	Uncharacterized protein	TrEMBL
Montipora_capitata_HIv3___RNAseq.g19177.t1	A0AAU9W3Y9	A0AAU9W3Y9_9CNID	52.033	123	58	1	1	366	1	123	4.25e-35	127	375	125	98	HIGH	UPAR/Ly6 domain-containing protein	TrEMBL
Montipora_capitata_HIv3___TS.g32732.t1	A0ABN8PED4	A0ABN8PED4_9CNID	81.915	94	17	0	1	282	89	182	5.81e-50	165	285	182	99	HIGH	Uncharacterized protein	TrEMBL
Montipora_capitata_HIv3___TS.g32734.t2	A0ABN8M8Q3	A0ABN8M8Q3_9CNID	50.549	91	42	3	160	432	1	88	6.10e-19	87.0	498	109	55	MEDIUM	Uncharacterized protein (Fragment)	TrEMBL
Montipora_capitata_HIv3___RNAseq.g19337.t1	A0AAD9V8S9	A0AAD9V8S9_ACRCE	47.423	194	88	7	4	576	486	668	1.86e-41	158	588	668	97	HIGH	Tetratricopeptide repeat protein 29	TrEMBL
Montipora_capitata_HIv3___RNAseq.g19570.t1	A0AAD9V8N4	A0AAD9V8N4_ACRCE	72.781	169	43	2	1	498	556	724	1.21e-75	250	513	780	97	HIGH	Glycine betaine transporter OpuD	TrEMBL
Montipora_capitata_HIv3___RNAseq.g19835.t1d	A0ABN8NWY6	A0ABN8NWY6_9CNID	64.516	93	33	0	253	531	713	805	1.58e-31	130	537	808	52	MEDIUM	Uncharacterized protein	TrEMBL
Montipora_capitata_HIv3___RNAseq.g19995.t1	A0AAD9R4V2	A0AAD9R4V2_ACRCE	55.474	274	115	6	985	1785	4584	4857	1.02e-70	259	1788	4857	83	HIGH	Uncharacterized protein	TrEMBL
Montipora_capitata_HIv3___RNAseq.g20095.t1	A0A4R5VQG5	A0A4R5VQG5_9BACI	37.569	181	90	5	13	525	9	176	1.26e-21	96.3	528	187	97	MEDIUM	Uncharacterized protein	TrEMBL
Montipora_capitata_HIv3___RNAseq.g20101.t1	A0ABU1J5N4	A0ABU1J5N4_9BACL	33.775	151	95	4	487	930	5	153	1.69e-19	94.7	1026	175	43	LOW	Uncharacterized protein	TrEMBL
Montipora_capitata_HIv3___RNAseq.g20151.t1	A0AAD9V7K6	A0AAD9V7K6_ACRCE	60.784	204	76	4	1	606	1	202	4.11e-86	262	627	202	97	HIGH	Secreted protein	TrEMBL
Montipora_capitata_HIv3___RNAseq.g20303.t1	A0A913XG51	A0A913XG51_EXADI	66.879	157	50	1	481	951	530	684	3.63e-61	219	1200	1269	47	LOW	DNA-directed DNA polymerase	TrEMBL
Montipora_capitata_HIv3___RNAseq.g20532.t1	A0A9X0A9G4	A0A9X0A9G4_9CNID	60.645	155	49	4	169	615	618	766	1.26e-44	176	1206	979	37	LOW	Uncharacterized protein	TrEMBL
