gene_id	uniprot_acc	uniprot_entry	pident	align_length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qcovs	quality_tier	description	source
Montipora_capitata_HIv3___RNAseq.g37193.t1	P58158	B3GA3_MOUSE	50.189	265	120	3	325	1092	74	335	1.63e-84	263	1095	335	70	HIGH	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3	SwissProt
Montipora_capitata_HIv3___RNAseq.g37354.t1	O15439	MRP4_HUMAN	45.886	316	169	1	1	942	940	1255	3.25e-97	316	1014	1325	95	HIGH	ATP-binding cassette sub-family C member 4	SwissProt
Montipora_capitata_HIv3___TS.g29878.t2	Q58A42	DD3_DICDI	33.028	654	287	25	37	1860	14	562	1.22e-76	259	1965	616	93	MEDIUM	Protein DD3-3	SwissProt
Montipora_capitata_HIv3___RNAseq.g37450.t2	Q17QK8	SPRE_BOVIN	37.118	229	139	2	103	780	40	266	2.56e-51	171	786	267	86	MEDIUM	Sepiapterin reductase	SwissProt
Montipora_capitata_HIv3___RNAseq.g37469.t1	Q80YA8	CRUM2_MOUSE	28.492	179	93	9	280	798	1057	1206	8.59e-09	62.0	1365	1282	38	LOW	Protein crumbs homolog 2	SwissProt
Montipora_capitata_HIv3___RNAseq.g37645.t1	O73888	HPGDS_CHICK	37.963	216	111	6	13	651	4	199	7.16e-38	133	654	199	98	MEDIUM	Hematopoietic prostaglandin D synthase	SwissProt
Montipora_capitata_HIv3___RNAseq.g37806.t1	Q8CFL8	ZSWM3_MOUSE	20.522	268	203	7	190	984	156	416	1.46e-08	62.8	2838	695	28	LOW	Zinc finger SWIM domain-containing protein 3	SwissProt
Montipora_capitata_HIv3___RNAseq.g38848.t1	Q5RFW0	SCAR5_DANRE	57.426	101	43	0	655	957	398	498	3.23e-32	128	972	499	31	LOW	Scavenger receptor class A member 5	SwissProt
Montipora_capitata_HIv3___RNAseq.g39044.t3	O75751	S22A3_HUMAN	36.111	108	59	3	19	336	82	181	3.36e-09	57.4	435	556	73	LOW	Solute carrier family 22 member 3	SwissProt
Montipora_capitata_HIv3___RNAseq.g39502.t1	Q9DBW0	CP4V2_MOUSE	46.667	510	259	5	10	1533	22	520	4.11e-160	468	1539	525	99	HIGH	Cytochrome P450 4V2	SwissProt
Montipora_capitata_HIv3___RNAseq.g39503.t1	O19132	NOS1_RABIT	49.156	1125	501	9	220	3438	304	1409	0.0	1077	3480	1435	93	HIGH	Nitric oxide synthase 1	SwissProt
Montipora_capitata_HIv3___RNAseq.g39517.t1	P35555	FBN1_HUMAN	47.619	84	44	0	2031	2282	1322	1405	9.79e-14	79.7	2283	2871	11	LOW	Fibrillin-1	SwissProt
Montipora_capitata_HIv3___TS.g32048.t1	F8W3R9	ALK_DANRE	39.423	104	55	2	64	360	684	784	1.83e-06	53.1	930	1705	32	LOW	ALK tyrosine kinase receptor	SwissProt
Montipora_capitata_HIv3___RNAseq.g39535.t1	Q9DER7	TLL1_CHICK	30.738	244	134	9	22	687	666	896	3.67e-22	99.0	759	1008	88	MEDIUM	Tolloid-like protein 1	SwissProt
Montipora_capitata_HIv3___RNAseq.g39648.t1	A6QLU6	AGRD1_BOVIN	40.000	90	52	1	76	339	762	851	1.36e-16	79.7	492	902	54	MEDIUM	Adhesion G-protein coupled receptor D1	SwissProt
Montipora_capitata_HIv3___TS.g32176.t1	P10978	POLX_TOBAC	30.517	580	355	15	49	1740	5	552	3.00e-57	213	1872	1328	90	MEDIUM	Retrovirus-related Pol polyprotein from transposon TNT 1-94	SwissProt
Montipora_capitata_HIv3___RNAseq.g39706.t2	P09958	FURIN_HUMAN	39.965	578	317	12	34	1710	7	573	1.17e-125	396	2223	794	75	MEDIUM	Furin	SwissProt
Montipora_capitata_HIv3___RNAseq.g39887.t1	Q9D6T1	TBE_MOUSE	66.531	490	144	3	1	1458	1	474	0.0	621	1461	475	99	HIGH	Tubulin epsilon chain	SwissProt
Montipora_capitata_HIv3___RNAseq.g39905.t1	P14198	AAC4_DICDI	42.515	167	83	3	205	669	504	669	2.80e-33	130	702	678	66	HIGH	AAC-rich mRNA clone AAC4 protein	SwissProt
Montipora_capitata_HIv3___TS.g32424.t1	Q460N3	PAR15_HUMAN	46.305	203	104	4	5842	6438	475	676	1.55e-45	180	6441	678	41	LOW	Protein mono-ADP-ribosyltransferase PARP15	SwissProt
Montipora_capitata_HIv3___RNAseq.g39915.t1	Q460N5	PAR14_HUMAN	31.425	716	424	16	2686	4671	1097	1799	1.96e-90	329	4674	1801	70	MEDIUM	Protein mono-ADP-ribosyltransferase PARP14	SwissProt
Montipora_capitata_HIv3___RNAseq.g39917.t1	Q460N5	PAR14_HUMAN	30.961	801	478	24	2398	4695	1039	1799	3.05e-95	345	4698	1801	49	LOW	Protein mono-ADP-ribosyltransferase PARP14	SwissProt
Montipora_capitata_HIv3___RNAseq.42097_t	Q460N5	PAR14_HUMAN	31.698	795	481	21	2584	4884	1039	1799	1.23e-102	368	4887	1801	77	MEDIUM	Protein mono-ADP-ribosyltransferase PARP14	SwissProt
Montipora_capitata_HIv3___RNAseq.g39922.t1	Q460N5	PAR14_HUMAN	31.187	792	438	20	3358	5505	1039	1799	2.24e-92	337	5508	1801	76	MEDIUM	Protein mono-ADP-ribosyltransferase PARP14	SwissProt
Montipora_capitata_HIv3___RNAseq.g39974.t1	Q9QYC7	VKGC_MOUSE	46.112	733	325	14	58	2109	45	756	0.0	642	2115	757	97	HIGH	Vitamin K-dependent gamma-carboxylase	SwissProt
Montipora_capitata_HIv3___TS.g32593.t2	Q5FWH7	S39AC_MOUSE	31.177	603	318	19	421	2157	158	687	6.22e-56	206	2175	689	80	MEDIUM	Zinc transporter ZIP12	SwissProt
Montipora_capitata_HIv3___TS.g32614.t2	Q9DCT6	BAP18_MOUSE	52.083	96	36	1	1	288	1	86	7.85e-26	101	657	171	44	LOW	BPTF-associated chromatin complex component 1	SwissProt
