gene_id	uniprot_acc	uniprot_entry	pident	align_length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qcovs	quality_tier	description	source
SCF082_s2_g130	A0ABP0KE98	A0ABP0KE98_9DINO	100.000	160	0	0	1	480	1	160	6.94e-103	301	483	160	99	HIGH	Sugar phosphate/phosphate translocator	TrEMBL
SCF082_s16_g788	A0ABP0JBL2	A0ABP0JBL2_9DINO	100.000	1298	0	0	1	3894	1	1298	0.0	2601	3897	1298	99	HIGH	Uncharacterized protein	TrEMBL
SCF082_s19_g925	A0ABP0K7D3	A0ABP0K7D3_9DINO	100.000	559	0	0	1	1677	1	559	0.0	1046	1680	559	99	HIGH	MFS-type efflux pump MSMEG_3705	TrEMBL
SCF082_s35_g1953_i2	A0ABP0NGR8	A0ABP0NGR8_9DINO	100.000	454	0	0	1	1362	1	454	0.0	887	1365	454	99	HIGH	Uncharacterized protein	TrEMBL
SCF082_s39_g2100	A0ABP0Q4J8	A0ABP0Q4J8_9DINO	100.000	166	0	0	118	615	40	205	2.33e-80	248	618	205	81	HIGH	Caskin-2	TrEMBL
SCF082_s43_g2230	A0ABP0PKQ0	A0ABP0PKQ0_9DINO	100.000	266	0	0	1	798	1	266	0.0	530	801	266	99	HIGH	STI1-like protein	TrEMBL
SCF082_s47_g2415	A0ABP0PYY6	A0ABP0PYY6_9DINO	100.000	619	0	0	1	1857	1	619	0.0	1273	1860	619	99	HIGH	Uncharacterized protein	TrEMBL
SCF082_s59_g2899	A0ABP0QV45	A0ABP0QV45_9DINO	100.000	384	0	0	1	1152	1	384	0.0	736	1155	384	99	HIGH	Uncharacterized protein	TrEMBL
SCF082_s60_g2931	A0ABP0L5J0	A0ABP0L5J0_9DINO	100.000	319	0	0	1	957	1	319	0.0	628	960	319	99	HIGH	Uncharacterized protein	TrEMBL
SCF082_s68_g3139	A0ABP0RB50	A0ABP0RB50_9DINO	100.000	178	0	0	1	534	1	178	2.01e-24	103	537	178	99	HIGH	Uncharacterized protein	TrEMBL
SCF082_s77_g3423	A0ABP0JUX5	A0ABP0JUX5_9DINO	100.000	137	0	0	1	411	1	137	2.15e-83	250	414	137	99	HIGH	Chloroplastic	TrEMBL
SCF082_s78_g3460	A0ABP0JUX5	A0ABP0JUX5_9DINO	100.000	137	0	0	1	411	1	137	2.15e-83	250	414	137	99	HIGH	Chloroplastic	TrEMBL
SCF082_s78_g3484	A0ABP0RT16	A0ABP0RT16_9DINO	100.000	308	0	0	1	924	1	308	0.0	565	927	308	99	HIGH	Uncharacterized protein	TrEMBL
SCF082_s94_g3986	A0ABP0SJZ8	A0ABP0SJZ8_9DINO	100.000	567	0	0	1	1701	1	567	0.0	1030	1704	567	99	HIGH	Uncharacterized protein	TrEMBL
SCF082_s106_g4393	A0ABP0HHT5	A0ABP0HHT5_9DINO	100.000	446	0	0	1	1338	1	446	0.0	758	1341	446	99	HIGH	Uncharacterized protein	TrEMBL
SCF082_s108_g4450	A0ABP0HH25	A0ABP0HH25_9DINO	100.000	604	0	0	1	1812	1	604	0.0	1210	1815	604	99	HIGH	Ankyrin-2	TrEMBL
SCF082_s127_g5065	A0ABP0I6D4	A0ABP0I6D4_9DINO	100.000	470	0	0	1	1410	1	470	0.0	979	1413	470	99	HIGH	Uncharacterized protein	TrEMBL
SCF082_s131_g5143	A0ABP0IBG5	A0ABP0IBG5_9DINO	100.000	127	0	0	1	381	1	127	1.51e-68	211	384	127	99	HIGH	Uncharacterized protein	TrEMBL
SCF082_s137_g5315	A0ABP0IM73	A0ABP0IM73_9DINO	100.000	905	0	0	1	2715	1	905	0.0	1821	2718	905	99	HIGH	Uncharacterized protein	TrEMBL
SCF082_s143_g5512	A0ABP0IT05	A0ABP0IT05_9DINO	100.000	882	0	0	1	2646	1	882	0.0	1776	2649	882	99	HIGH	Uncharacterized protein	TrEMBL
SCF082_s145_g5558	A0ABP0IUB6	A0ABP0IUB6_9DINO	100.000	679	0	0	1	2037	1	679	0.0	1238	2040	679	99	HIGH	Uncharacterized protein	TrEMBL
SCF082_s153_g5809	A0ABP0J3T9	A0ABP0J3T9_9DINO	100.000	90	0	0	1	270	1	90	3.24e-37	129	273	90	99	HIGH	Cytochrome b6-f complex subunit PetN (Cytochrome b6-f complex subunit VIII)	TrEMBL
SCF082_s171_g6305	A0ABP0JMP6	A0ABP0JMP6_9DINO	100.000	171	0	0	52	564	18	188	1.34e-117	342	609	202	84	HIGH	Mycosubtilin synthase subunit A	TrEMBL
SCF082_s171_g6311	A0ABP0JMR6	A0ABP0JMR6_9DINO	100.000	101	0	0	1	303	1	101	2.37e-24	98.2	306	101	99	HIGH	WD repeat-containing protein WRAP73	TrEMBL
SCF082_s172_g6340	A0ABP0JNS3	A0ABP0JNS3_9DINO	100.000	175	0	0	1	525	1	175	4.02e-123	354	570	189	92	HIGH	Mycosubtilin synthase subunit A	TrEMBL
