gene_id	uniprot_acc	uniprot_entry	pident	align_length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qcovs	quality_tier	description
Montipora_capitata_HIv3___RNAseq.g37193.t1	P58158	B3GA3_MOUSE	50.189	265	120	3	325	1092	74	335	1.63e-84	263	1095	335	70	HIGH	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3
Montipora_capitata_HIv3___RNAseq.g37354.t1	O15439	MRP4_HUMAN	45.886	316	169	1	1	942	940	1255	3.25e-97	316	1014	1325	95	HIGH	ATP-binding cassette sub-family C member 4
Montipora_capitata_HIv3___TS.g29878.t2	Q58A42	DD3_DICDI	33.028	654	287	25	37	1860	14	562	1.22e-76	259	1965	616	93	MEDIUM	Protein DD3-3
Montipora_capitata_HIv3___RNAseq.g37450.t2	Q17QK8	SPRE_BOVIN	37.118	229	139	2	103	780	40	266	2.56e-51	171	786	267	86	MEDIUM	Sepiapterin reductase
Montipora_capitata_HIv3___RNAseq.g37469.t1	Q80YA8	CRUM2_MOUSE	28.492	179	93	9	280	798	1057	1206	8.59e-09	62.0	1365	1282	38	LOW	Protein crumbs homolog 2
Montipora_capitata_HIv3___RNAseq.g37645.t1	O73888	HPGDS_CHICK	37.963	216	111	6	13	651	4	199	7.16e-38	133	654	199	98	MEDIUM	Hematopoietic prostaglandin D synthase
Montipora_capitata_HIv3___RNAseq.g37806.t1	Q8CFL8	ZSWM3_MOUSE	20.522	268	203	7	190	984	156	416	1.46e-08	62.8	2838	695	28	LOW	Zinc finger SWIM domain-containing protein 3
Montipora_capitata_HIv3___RNAseq.g38848.t1	Q5RFW0	SCAR5_DANRE	57.426	101	43	0	655	957	398	498	3.23e-32	128	972	499	31	LOW	Scavenger receptor class A member 5
Montipora_capitata_HIv3___RNAseq.g39044.t3	O75751	S22A3_HUMAN	36.111	108	59	3	19	336	82	181	3.36e-09	57.4	435	556	73	LOW	Solute carrier family 22 member 3
Montipora_capitata_HIv3___RNAseq.g39502.t1	Q9DBW0	CP4V2_MOUSE	46.667	510	259	5	10	1533	22	520	4.11e-160	468	1539	525	99	HIGH	Cytochrome P450 4V2
Montipora_capitata_HIv3___RNAseq.g39503.t1	O19132	NOS1_RABIT	49.156	1125	501	9	220	3438	304	1409	0.0	1077	3480	1435	93	HIGH	Nitric oxide synthase 1
Montipora_capitata_HIv3___RNAseq.g39517.t1	P35555	FBN1_HUMAN	47.619	84	44	0	2031	2282	1322	1405	9.79e-14	79.7	2283	2871	11	LOW	Fibrillin-1
Montipora_capitata_HIv3___TS.g32048.t1	F8W3R9	ALK_DANRE	39.423	104	55	2	64	360	684	784	1.83e-06	53.1	930	1705	32	LOW	ALK tyrosine kinase receptor
Montipora_capitata_HIv3___RNAseq.g39535.t1	Q9DER7	TLL1_CHICK	30.738	244	134	9	22	687	666	896	3.67e-22	99.0	759	1008	88	MEDIUM	Tolloid-like protein 1
Montipora_capitata_HIv3___RNAseq.g39648.t1	A6QLU6	AGRD1_BOVIN	40.000	90	52	1	76	339	762	851	1.36e-16	79.7	492	902	54	MEDIUM	Adhesion G-protein coupled receptor D1
Montipora_capitata_HIv3___TS.g32176.t1	P10978	POLX_TOBAC	30.517	580	355	15	49	1740	5	552	3.00e-57	213	1872	1328	90	MEDIUM	Retrovirus-related Pol polyprotein from transposon TNT 1-94
Montipora_capitata_HIv3___RNAseq.g39706.t2	P09958	FURIN_HUMAN	39.965	578	317	12	34	1710	7	573	1.17e-125	396	2223	794	75	MEDIUM	Furin
Montipora_capitata_HIv3___RNAseq.g39887.t1	Q9D6T1	TBE_MOUSE	66.531	490	144	3	1	1458	1	474	0.0	621	1461	475	99	HIGH	Tubulin epsilon chain
Montipora_capitata_HIv3___RNAseq.g39905.t1	P14198	AAC4_DICDI	42.515	167	83	3	205	669	504	669	2.80e-33	130	702	678	66	HIGH	AAC-rich mRNA clone AAC4 protein
Montipora_capitata_HIv3___TS.g32424.t1	Q460N3	PAR15_HUMAN	46.305	203	104	4	5842	6438	475	676	1.55e-45	180	6441	678	41	LOW	Protein mono-ADP-ribosyltransferase PARP15
Montipora_capitata_HIv3___RNAseq.g39915.t1	Q460N5	PAR14_HUMAN	31.425	716	424	16	2686	4671	1097	1799	1.96e-90	329	4674	1801	70	MEDIUM	Protein mono-ADP-ribosyltransferase PARP14
Montipora_capitata_HIv3___RNAseq.g39917.t1	Q460N5	PAR14_HUMAN	30.961	801	478	24	2398	4695	1039	1799	3.05e-95	345	4698	1801	49	LOW	Protein mono-ADP-ribosyltransferase PARP14
Montipora_capitata_HIv3___RNAseq.42097_t	Q460N5	PAR14_HUMAN	31.698	795	481	21	2584	4884	1039	1799	1.23e-102	368	4887	1801	77	MEDIUM	Protein mono-ADP-ribosyltransferase PARP14
Montipora_capitata_HIv3___RNAseq.g39922.t1	Q460N5	PAR14_HUMAN	31.187	792	438	20	3358	5505	1039	1799	2.24e-92	337	5508	1801	76	MEDIUM	Protein mono-ADP-ribosyltransferase PARP14
Montipora_capitata_HIv3___RNAseq.g39974.t1	Q9QYC7	VKGC_MOUSE	46.112	733	325	14	58	2109	45	756	0.0	642	2115	757	97	HIGH	Vitamin K-dependent gamma-carboxylase
Montipora_capitata_HIv3___TS.g32593.t2	Q5FWH7	S39AC_MOUSE	31.177	603	318	19	421	2157	158	687	6.22e-56	206	2175	689	80	MEDIUM	Zinc transporter ZIP12
Montipora_capitata_HIv3___TS.g32614.t2	Q9DCT6	BAP18_MOUSE	52.083	96	36	1	1	288	1	86	7.85e-26	101	657	171	44	LOW	BPTF-associated chromatin complex component 1
Montipora_capitata_HIv3___RNAseq.g19089.t1	Q9HBI5	CEP15_HUMAN	33.673	98	64	1	22	315	2	98	8.01e-11	58.2	324	128	91	MEDIUM	Centrosomal protein 15
Montipora_capitata_HIv3___RNAseq.g19114.t1b	Q96MU8	KREM1_HUMAN	37.363	91	54	2	1798	2061	110	200	3.45e-10	67.8	3714	473	7	LOW	Kremen protein 1
Montipora_capitata_HIv3___RNAseq.g19323.t1	A1L314	MPEG1_MOUSE	38.579	718	371	15	100	2214	43	703	2.24e-156	474	2241	713	94	MEDIUM	Macrophage-expressed gene 1 protein
Montipora_capitata_HIv3___RNAseq.g19432.t1	P51538	CP3A9_RAT	32.581	399	241	11	268	1428	84	466	1.18e-55	197	1530	503	76	MEDIUM	Cytochrome P450 3A9
Montipora_capitata_HIv3___RNAseq.g19544.t1	Q9BWV3	CDAC1_HUMAN	28.571	455	260	13	25	1224	25	469	5.08e-32	130	1323	514	91	LOW	Cytidine and dCMP deaminase domain-containing protein 1
Montipora_capitata_HIv3___TS.g33283.t2	P00606	PA2A_BUNMU	48.649	111	55	1	160	492	28	136	1.11e-31	114	516	145	65	HIGH	Acidic phospholipase A2
Montipora_capitata_HIv3___RNAseq.g19731.t1	Q9FT74	RQL1_ARATH	28.922	204	119	6	1171	1770	356	537	1.99e-15	84.3	2424	606	25	LOW	ATP-dependent DNA helicase Q-like 1
Montipora_capitata_HIv3___RNAseq.g19793.t1	Q87PP5	BCCT1_VIBPA	35.963	431	230	7	109	1383	167	557	9.85e-81	268	1803	562	71	MEDIUM	Glycine betaine/proline/choline/ectoine transporter VP1456
Montipora_capitata_HIv3___RNAseq.g19823.t1	Q5UQ60	YL662_MIMIV	23.929	280	188	8	181	993	8	271	4.62e-16	83.2	1206	462	67	LOW	Uncharacterized protein L662
Montipora_capitata_HIv3___RNAseq.g19905.t1	Q9JLB4	CUBN_MOUSE	34.146	123	68	3	100	468	932	1041	1.58e-09	63.9	1182	3623	31	LOW	Cubilin
Montipora_capitata_HIv3___TS.g33523.t1	P14207	FOLR2_HUMAN	33.333	216	128	5	22	624	6	220	8.46e-39	138	702	255	86	MEDIUM	Folate receptor beta
Montipora_capitata_HIv3___RNAseq.g19982.t1a	P21328	RTJK_DROME	25.054	459	300	14	1618	2910	438	880	5.77e-27	122	3069	916	42	LOW	RNA-directed DNA polymerase from mobile element jockey
Montipora_capitata_HIv3___TS.g33589.t1	P48304	REG1B_HUMAN	33.333	138	84	4	3157	3558	30	163	2.97e-14	75.5	3783	166	11	LOW	Lithostathine-1-beta
Montipora_capitata_HIv3___RNAseq.g20093.t1	Q8QG61	CRY1_CHICK	65.932	499	169	1	67	1560	4	502	0.0	724	1644	621	91	HIGH	Cryptochrome-1
Montipora_capitata_HIv3___RNAseq.g20224.t1	Q3T1H8	TMM79_RAT	31.056	161	109	2	58	537	200	359	7.64e-13	69.3	576	391	83	MEDIUM	Transmembrane protein 79
Montipora_capitata_HIv3___RNAseq.g20246.t1	Q5F4A1	G2E3_CHICK	34.715	193	121	4	970	1548	389	576	7.21e-22	103	1596	742	36	LOW	G2/M phase-specific E3 ubiquitin-protein ligase
Montipora_capitata_HIv3___RNAseq.g20250.t1	Q75V66	ANO5_HUMAN	42.049	849	441	14	382	2880	63	876	0.0	640	2955	913	85	HIGH	Anoctamin-5
Montipora_capitata_HIv3___RNAseq.g20763.t1	P55264	ADK_MOUSE	57.983	357	145	2	4	1059	4	360	9.29e-152	434	1065	361	99	HIGH	Adenosine kinase
Montipora_capitata_HIv3___RNAseq.g20766.t1	Q2KIR0	SMIP2_BOVIN	40.566	106	60	2	76	384	18	123	2.47e-16	77.0	624	197	50	MEDIUM	Protein SPMIP2
Montipora_capitata_HIv3___RNAseq.g20771.t1	O35409	FOLH1_MOUSE	32.990	97	65	0	481	771	57	153	1.84e-10	64.3	774	752	38	LOW	Glutamate carboxypeptidase 2
Montipora_capitata_HIv3___RNAseq.g20804.t1	Q5G269	NETR_PONPY	28.384	229	141	7	64	729	389	601	3.91e-20	92.8	768	877	91	LOW	Neurotrypsin
Montipora_capitata_HIv3___RNAseq.g20807.t2	F7J220	SRCR1_PATPE	33.696	184	105	3	295	846	33	199	6.97e-28	117	921	1128	71	MEDIUM	Scavenger receptor cysteine-rich domain superfamily protein
Montipora_capitata_HIv3___RNAseq.g20813.t1	Q6NY73	L3BPB_DANRE	40.351	114	54	2	25	366	11	110	7.93e-17	86.7	1428	572	24	LOW	Galectin-3-binding protein B
Montipora_capitata_HIv3___TS.g34490.t2	Q9P0K9	FRS1L_HUMAN	28.221	163	108	6	748	1224	96	253	1.40e-11	69.3	1650	293	50	LOW	DOMON domain-containing protein FRRS1L
Montipora_capitata_HIv3___RNAseq.g20959.t1	P86854	PLCL_MYTGA	31.250	144	88	3	94	522	23	156	6.92e-12	63.5	537	156	80	MEDIUM	Perlucin-like protein
Montipora_capitata_HIv3___RNAseq.24234_t	Q3T1L0	A16A1_RAT	42.892	823	439	10	70	2526	7	802	0.0	629	2541	802	97	HIGH	Aldehyde dehydrogenase family 16 member A1
Montipora_capitata_HIv3___RNAseq.g21284.t1	P58912	TX60B_PHYSE	32.673	404	258	9	79	1269	38	434	4.41e-58	203	1497	488	80	MEDIUM	DELTA-alicitoxin-Pse2b
Montipora_capitata_HIv3___RNAseq.g21374.t1	Q8K0U4	HS12A_MOUSE	55.031	636	255	4	583	2409	43	674	0.0	736	2415	675	76	HIGH	Heat shock 70 kDa protein 12A
Montipora_capitata_HIv3___TS.g35163.t1	Q06194	FA8_MOUSE	36.250	160	89	4	3475	3945	2163	2312	1.06e-22	110	5325	2319	18	LOW	Coagulation factor VIII
Montipora_capitata_HIv3___TS.g35289.t2	P41827	HSP74_ANOAL	77.577	553	124	0	13	1671	1	553	0.0	889	1782	640	93	HIGH	Heat shock protein 70 B2
Montipora_capitata_HIv3___RNAseq.g21911.t1	Q5R959	SPY2_PONAB	53.247	77	32	2	613	843	205	277	7.92e-20	91.3	906	315	25	LOW	Protein sprouty homolog 2
Montipora_capitata_HIv3___RNAseq.g22408.t1	Q4V8Y6	ERGI1_DANRE	62.069	290	107	2	1	861	1	290	7.64e-137	391	864	290	99	HIGH	Endoplasmic reticulum-Golgi intermediate compartment protein 1
Montipora_capitata_HIv3___RNAseq.g22485.t1	Q86WI1	PKHL1_HUMAN	36.425	4291	2467	92	79	12618	32	4172	0.0	2360	19737	4243	64	MEDIUM	Fibrocystin-L
Montipora_capitata_HIv3___TS.g36124.t1	Q4UMH6	Y381_RICFE	38.971	136	83	0	796	1203	954	1089	2.75e-21	100	1329	1179	39	LOW	Putative ankyrin repeat protein RF_0381
Montipora_capitata_HIv3___RNAseq.g22512.t1	B3EWZ3	CADN_ACRMI	25.431	232	130	6	337	915	516	743	1.50e-12	72.4	1017	1675	64	LOW	Coadhesin (Fragment)
Montipora_capitata_HIv3___RNAseq.g22553.t1c	Q9Y225	RNF24_HUMAN	31.356	118	61	4	85	414	35	140	2.97e-15	71.2	441	148	75	MEDIUM	RING finger protein 24
Montipora_capitata_HIv3___RNAseq.g22618.t1	Q5DU56	NLRC3_MOUSE	44.737	228	124	1	241	924	702	927	1.43e-42	160	930	1064	75	HIGH	Protein NLRC3
Montipora_capitata_HIv3___RNAseq.g22626.t1	Q7RTR2	NLRC3_HUMAN	43.182	264	146	2	145	924	639	902	3.56e-47	173	933	1065	84	HIGH	NLR family CARD domain-containing protein 3
Montipora_capitata_HIv3___RNAseq.g22747.t1	Q08DA5	PANK3_BOVIN	60.000	360	140	2	10	1080	8	366	3.32e-151	434	1125	370	95	HIGH	Pantothenate kinase 3
Montipora_capitata_HIv3___RNAseq.g22853.t1	Q6DIM3	TBD_XENTR	52.854	473	201	7	1	1419	1	451	9.23e-178	508	1422	451	99	HIGH	Tubulin delta chain
Montipora_capitata_HIv3___RNAseq.g22865.t1	B5FYQ0	ARL3_TAEGU	64.474	76	25	1	7	228	106	181	8.44e-28	101	234	182	95	HIGH	ADP-ribosylation factor-like protein 3
Montipora_capitata_HIv3___TS.g36789.t1	Q6UVY6	MOXD1_HUMAN	30.952	126	80	4	97	471	29	148	5.79e-10	65.5	1512	613	50	LOW	DBH-like monooxygenase protein 1
Montipora_capitata_HIv3___RNAseq.g23169.t1	Q5TZ24	MOXD1_DANRE	26.174	149	101	5	109	552	35	175	2.08e-08	57.8	720	614	62	LOW	DBH-like monooxygenase protein 1 homolog
Montipora_capitata_HIv3___RNAseq.g23247.t1	A1A4R8	CDC23_BOVIN	56.076	576	241	6	25	1737	29	597	0.0	645	1740	597	98	HIGH	Cell division cycle protein 23 homolog
Montipora_capitata_HIv3___RNAseq.g23366.t1	P63138	GBRB2_RAT	34.437	302	163	5	103	906	26	326	7.97e-60	204	1194	474	67	MEDIUM	Gamma-aminobutyric acid receptor subunit beta-2
Montipora_capitata_HIv3___RNAseq.g23464.t1	P97717	ADA1B_MOUSE	37.079	178	103	3	136	663	18	188	4.04e-26	108	696	514	76	MEDIUM	Alpha-1B adrenergic receptor
Montipora_capitata_HIv3___RNAseq.g34949.t1	Q94887	NRX4_DROME	29.167	120	78	3	562	912	70	185	4.60e-10	64.3	915	1284	38	LOW	Neurexin-4
Montipora_capitata_HIv3___RNAseq.g34983.t1	O60462	NRP2_HUMAN	36.025	161	89	6	472	927	274	429	1.10e-18	90.1	933	931	49	LOW	Neuropilin-2
Montipora_capitata_HIv3___RNAseq.g34997.t1	P98169	ZXDB_HUMAN	46.732	306	153	5	1177	2070	271	574	3.06e-84	293	3171	803	28	LOW	Zinc finger X-linked protein ZXDB
